right_knee,right_hip,left_hip,left_knee,right_elbow,right_trunk,left_trunk,right_shoulder
172.95448329969108,110.35334690125835,62.957076849336424,163.30878861384684,73.0850325488371,170.5710036061833,174.09350429274204,112.05911559645648
173.890306468041,114.25195540059038,39.98974405522075,144.66578036726753,83.95023320205676,171.80063321730398,155.4362904769004,118.49981144308643
175.69665314699057,110.3426250437398,39.88205735960084,145.8745478680821,86.09631638623196,175.4222903272559,154.69633151468247,116.71983231205016
174.9589190672545,103.98620058426233,53.447867090704406,157.14316305729346,88.79446906383455,176.5601142182225,163.2379769725601,115.37091609581756
179.7688099037832,101.8153424524597,68.28694156416547,174.07774697325885,79.05672041933997,178.07351253368572,177.23533749122979,106.19146912046742
150.12843052759675,99.77743717442765,73.5410369831776,176.78362932470736,67.7412635516799,177.37498627155156,179.8229528633833,95.46198680845532
54.119206515677384,95.47985775676275,81.85312238359472,174.92457749520935,60.322739929681475,174.45795239000816,178.30376854186963,94.62842913463425
80.80503318347063,96.82962256080974,85.98269321450819,177.14400299915587,60.22695183175125,171.6491798142266,176.51043242889645,99.40630319057982
148.92806398834458,86.4836711908305,97.77919138575447,179.7646234450939,74.04579606238889,172.07860004708422,175.67696579875815,113.97776231736958
161.3550320613337,86.41418731181153,100.22443259661759,178.47527506465883,86.385239475546,168.58451270198634,177.85747505571166,118.13263761915266
167.8597777893164,87.48468357470216,98.83108430455673,176.2634108026881,86.78419520748984,167.57280120793197,179.59578697819447,115.77961364557831
161.51764136452866,99.66928266908337,89.91003173198283,178.3863034026867,80.73926149361753,161.69945323956574,177.66492373955242,112.61657243182091
171.88753329524422,102.3326838356586,81.796931325438,176.79939530562535,69.93423872609573,164.8498135768565,175.28445210258172,98.65558963918016
172.5057230297381,101.25805336362907,81.08804640889947,15.576131357117278,59.150043542746644,166.54162684404116,175.37031749829342,88.58530769421601
173.1664854457013,100.06516388744636,79.75095139179658,0.9887485991196611,51.34037643347023,168.80191165664127,176.26564850148708,80.33665761090234
171.61887563116363,103.57443491085454,74.63113560279281,69.73832776531722,56.47736965161571,168.95602444354557,176.70149624646206,90.98661249683718
171.28737461615341,104.22742131396795,66.13056194182666,162.6029751338479,66.15162972905195,171.50686015733157,171.5790112784303,100.13129029151708
170.84071743890684,113.7355559077529,31.69512429969562,138.55711113287845,77.61274911025995,171.5565531976054,146.2614145516758,109.57545047760999
178.7236839995338,103.78174443015143,33.043236238002514,137.16275365470347,84.69599389910238,175.50452174086246,142.14744327123378,113.73142047606697
169.03872316122212,103.284832360488,55.70322736861961,159.27496378251783,89.33598506845489,175.71248343025934,163.97950326849056,113.36555729117936
